Цена,Ссылка,Количество комнат,Общая площадь,Площадь кухни,Этаж,Дополнительно,Тип комнат,Санузел,Окна,Ремонт,Мебель,Техника,Способ продажи,Вид сделки,Тип дома,Год постройки,Этажей в доме,Пассажирский лифт,Грузовой лифт,В доме,Двор,Парковка,Жилая площадь,Высота потолков,Отделка,Название новостройки,Тип участия,Срок сдачи,"Корпус, строение",Стоимость ремонта,Балкон или лоджия,Тёплый пол,Запланирован снос
96000000,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_90_m_56_et._7571329380?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,3,90 м²,9 м²,5 из 6,гардеробная,изолированные,совмещенный,,дизайнерский,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",свободная,возможна ипотека,монолитный,2009,6,1,нет,консьерж,"закрытая территория, детская площадка","подземная, за шлагбаумом во дворе",,3 м,,,,,,,,,
20500000,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_256_m_512_et._7721910938?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,студия,25.6 м²,,5 из 12,панорамные окна,,совмещенный,во двор,дизайнерский,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина",свободная,возможна ипотека,монолитно-кирпичный,2024,12,1,1,,"закрытая территория, детская площадка, спортивная площадка",подземная,,3 м,,,,,,,,,
78800000,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_67_m_55_et._7730357694?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,3,67 м²,12 м²,5 из 5,панорамные окна,изолированные,совмещенный,"во двор, на улицу, на солнечную сторону",дизайнерский,"кухня, хранение одежды, спальные места","кондиционер, холодильник, стиральная машина, посудомоечная машина",свободная,возможна ипотека,кирпичный,1933,5,1,,газ,"детская площадка, спортивная площадка",за шлагбаумом во дворе,42 м²,3.2 м,,,,,,,балкон,есть,
18200000,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_57_m_1616_et._7654324605?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,2,57 м²,10 м²,16 из 16,,изолированные,,,косметический,,,свободная,,монолитный,,16,,,консьерж,,,32 м²,,,,,,,,,,
26000000,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_746_m_1414_et._7730567520?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,3,74.6 м²,9.5 м²,14 из 14,,"изолированные, смежные",раздельный,во двор,евро,"кухня, хранение одежды, спальные места",,свободная,возможна ипотека,панельный,1974,14,2,нет,"мусоропровод, газ",,,44.4 м²,2.5 м,,,,,,,"балкон, лоджия",,
10950000,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_366_m_1324_et._7627864203?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,2,36.6 м²,18.5 м²,13 из 24,,изолированные,совмещенный,во двор,,,,переуступка,,монолитно-кирпичный,,24,2,1,,"закрытая территория, детская площадка, спортивная площадка",открытая во дворе,10.7 м²,2.9 м,чистовая,ЖК «Лучи»,ДДУ по ФЗ 214,Сдача в 4 кв. 2025,Корпус 3 (2 этап),от 219 000 ₽ за 36.6 м²,,,
84090400,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_1028_m_1522_et._2526152921?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,2,102.8 м²,14.5 м²,15 из 22,,изолированные,раздельный,,,,,,возможна ипотека,монолитный,,22,,,,закрытая территория,подземная,34.1 м²,3.1 м,без отделки,ЖК «Клубный город на реке Primavera»,ДДУ по ФЗ 214,Сдача в 3 кв. 2025,Квартал «Вивальди» (корпус 13),,,,
26950000,https://www.avito.ru/moskva/kvartiry/2-k._apartamenty_53_m_228_et._7839171551?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,2,53 м²,5 м²,2 из 28,гардеробная,изолированные,совмещенный,во двор,дизайнерский,"кухня, хранение одежды","кондиционер, холодильник, стиральная машина, посудомоечная машина",свободная,возможна ипотека,монолитный,2019,28,2,2,консьерж,"закрытая территория, детская площадка, спортивная площадка",подземная,,3 м,,,,,,,,,
17650000,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_342_m_524_et._7708913305?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,1,34.2 м²,18 м²,5 из 24,,,совмещенный,во двор,требует ремонта,,,свободная,возможна ипотека,монолитный,2025,24,2,1,,"закрытая территория, детская площадка, спортивная площадка",подземная,12 м²,3 м,,,,,,от 564 000 ₽ за 34.2 м²,,есть,да
120000000,https://www.avito.ru/moskva/kvartiry/5-k._kvartira_148_m_1717_et._7546615667?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJOWHJHSWJoWTJMaUtYNk9nIjt9EQEOhj8AAAA,5,148 м²,27 м²,17 из 17,,"изолированные, смежные",совмещенный,"во двор, на улицу",дизайнерский,,,свободная,возможна ипотека,монолитно-кирпичный,2022,17,2,нет,,,,98.8 м²,3 м,,,,,,,,,
