Цена,Ссылка,Количество комнат,Общая площадь,Жилая площадь,Этаж,Балкон или лоджия,Высота потолков,Санузел,Окна,Ремонт,Тёплый пол,Мебель,Техника,Способ продажи,Вид сделки,Тип дома,Год постройки,Запланирован снос,Этажей в доме,Пассажирский лифт,Грузовой лифт,Двор,Парковка,Площадь кухни,Тип комнат,Отделка,Название новостройки,Тип участия,Срок сдачи,"Корпус, строение",Стоимость ремонта,Дополнительно,В доме
5150000.0,https://www.avito.ru/novosibirsk/kvartiry/4-k._kvartira_742_m_89_et._4524848452?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmWjJCbEptU0cxRktDYUY3Ijt9KyRCWj8AAAA,4,74.2 м²,,8 из 9,балкон,2.8 м,раздельный,во двор,косметический,,,,свободная,возможна ипотека,панельный,1969,,9,1,,,,7 м²,изолированные,,,,,,,,
14000000.0,https://www.avito.ru/novosibirsk/kvartiry/3-k._kvartira_661_m_68_et._7737664174?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmWjJCbEptU0cxRktDYUY3Ijt9KyRCWj8AAAA,3,66.1 м²,36.2 м²,6 из 8,лоджия,2.8 м,"совмещенный, раздельный",во двор,евро,,,,свободная,возможна ипотека,монолитно-кирпичный,2021,,8,1,1,,подземная,10 м²,изолированные,,,,,,,,
4499000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_45_m_55_et._7737890953?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmWjJCbEptU0cxRktDYUY3Ijt9KyRCWj8AAAA,2,45 м²,33 м²,5 из 5,балкон,2.7 м,совмещенный,на улицу,косметический,,,,свободная,возможна ипотека,кирпичный,1962,,5,нет,нет,,,6 м²,изолированные,,,,,,от 386 000 ₽ за 45 м²,,
16900000.0,https://www.avito.ru/novosibirsk/kvartiry/3-k._kvartira_1045_m_416_et._7769202198?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmWjJCbEptU0cxRktDYUY3Ijt9KyRCWj8AAAA,3,104.5 м²,45 м²,4 из 16,лоджия,3 м,раздельный,на улицу,евро,,,,свободная,возможна ипотека,монолитно-кирпичный,2000,,16,1,,,подземная,16 м²,изолированные,,,,,,,,
5600000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_47_m_45_et._7801165914?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmWjJCbEptU0cxRktDYUY3Ijt9KyRCWj8AAAA,2,47 м²,26 м²,4 из 5,балкон,2.6 м,раздельный,"во двор, на улицу",требует ремонта,,,,свободная,возможна ипотека,панельный,1969,,5,,,,открытая во дворе,6 м²,изолированные,,,,,,,,
6400000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_505_m_510_et._7737465028?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmWjJCbEptU0cxRktDYUY3Ijt9KyRCWj8AAAA,2,50.5 м²,27.7 м²,5 из 10,балкон,2.8 м,совмещенный,на улицу,косметический,,,,свободная,,панельный,1993,,10,1,1,,открытая во дворе,12.6 м²,изолированные,,,,,,от 433 000 ₽ за 50.5 м²,,
5895000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_588_m_310_et._7801132290?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmWjJCbEptU0cxRktDYUY3Ijt9KyRCWj8AAAA,2,58.8 м²,30 м²,3 из 10,балкон,2.7 м,совмещенный,во двор,дизайнерский,,,,свободная,возможна ипотека,панельный,2015,,10,1,,,открытая во дворе,25.4 м²,изолированные,,,,,,,,
3700000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_292_m_55_et._7385567449?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmWjJCbEptU0cxRktDYUY3Ijt9KyRCWj8AAAA,1,29.2 м²,16.4 м²,5 из 5,балкон,2.5 м,совмещенный,во двор,евро,,,,свободная,возможна ипотека,панельный,1966,,5,нет,нет,,открытая во дворе,6.1 м²,,,,,,,,,
9800000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_629_m_610_et._7724445914?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmWjJCbEptU0cxRktDYUY3Ijt9KyRCWj8AAAA,2,62.9 м²,,6 из 10,балкон,,раздельный,во двор,требует ремонта,,,,свободная,возможна ипотека,кирпичный,2025,,10,,,,,16 м²,смежные,,,,,,,,
6200000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_83_m_1419_et._7737659279?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJmWjJCbEptU0cxRktDYUY3Ijt9KyRCWj8AAAA,2,83 м²,52 м²,14 из 19,"балкон, лоджия",2.5 м,раздельный,,требует ремонта,,,,свободная,возможна ипотека,кирпичный,2024,,19,2,1,,,12 м²,изолированные,,,,,,от 1 162 000 ₽ за 83 м²,,
