price,link,rooms,total_area,kitchen_area,floor,renovation,house_type,passenger_lift,cargo_lift,parking,city,floors_total,smart_floor_ratio,house_age,city_specific_age_group,age_city_premium,is_spb_historical
9805333.0,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_28_m_1024_et._7771686980?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJEeUNJU2JZMFBEUk9yczZvIjt9FWrPrT8AAAA,0,28.0,5.9,10,косметический,монолитный,1,1,открытая во дворе,Москва,24,0.4166666666666667,8.0,мск_современная,1.0,0
6500000.0,https://www.avito.ru/moskva/kvartiry/dolya_v_3-k._kvartire_887_m_88_et._7817870182?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJEeUNJU2JZMFBEUk9yczZvIjt9FWrPrT8AAAA,3,88.7,12.0,8,косметический,кирпичный,1,0,за шлагбаумом во дворе,Москва,8,1.4,85.0,мск_старая,1.1,0
14530900.0,https://www.avito.ru/moskva/kvartiry/2-k._apartamenty_439_m_218_et._4334986026?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJEeUNJU2JZMFBEUk9yczZvIjt9FWrPrT8AAAA,2,43.9,3.7,2,косметический,монолитно-кирпичный,4,1,подземная,Москва,18,0.1111111111111111,13.0,мск_современная,1.0,0
7743000.0,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_258_m_520_et._4047409232?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJEeUNJU2JZMFBEUk9yczZvIjt9FWrPrT8AAAA,0,25.8,5.4,5,косметический,монолитный,1,1,подземная,Москва,20,0.25,8.0,мск_современная,1.0,0
12483200.0,https://www.avito.ru/moskva/kvartiry/2-k._apartamenty_376_m_835_et._7694315888?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJEeUNJU2JZMFBEUk9yczZvIjt9FWrPrT8AAAA,2,37.6,4.5,8,косметический,монолитный,1,1,подземная,Москва,35,0.22857142857142856,8.0,мск_современная,1.0,0
16502581.0,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_381_m_1625_et._7599693727?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJEeUNJU2JZMFBEUk9yczZvIjt9FWrPrT8AAAA,1,38.1,13.2,16,косметический,монолитно-кирпичный,1,1,открытая во дворе,Москва,25,0.64,13.0,мск_современная,1.0,0
3740000.0,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_214_m_45_et._7768700806?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJEeUNJU2JZMFBEUk9yczZvIjt9FWrPrT8AAAA,0,21.4,4.5,4,косметический,кирпичный,0,0,открытая во дворе,Москва,5,0.8,66.0,мск_старая,1.0,0
13500000.0,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_388_m_315_et._7678414120?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJEeUNJU2JZMFBEUk9yczZvIjt9FWrPrT8AAAA,1,38.8,10.5,3,евро,панельный,1,1,подземная,Москва,15,0.2,4.0,мск_новостройка,1.6,0
5700000.0,https://www.avito.ru/moskva/kvartiry/auktsion_1-k._kvartira_292_m_612_et._7724634877?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJEeUNJU2JZMFBEUk9yczZvIjt9FWrPrT8AAAA,1,29.2,7.0,6,косметический,панельный,1,0,открытая во дворе,Москва,12,0.5,39.0,мск_советская,1.0,0
9222823.0,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_233_m_419_et._7393442135?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJEeUNJU2JZMFBEUk9yczZvIjt9FWrPrT8AAAA,0,23.3,4.9,4,косметический,монолитно-кирпичный,1,1,открытая во дворе,Москва,19,0.21052631578947367,13.0,мск_современная,1.0,0
